Number,Year,Date,Source,Plant Height,Stem Diameter,Leaf Width,Leaf Length,NDVI,RVI,LNC,LNA,LAI,LDW,Photo Path,Sensor Path,label_3class,label_5class,label_treatment,insect,disease,growth_state,Air_Temperature,Relative_Humidity,Light_Intensity,CO2,Soil_Moisture,Soil_Temperature,split
L111,2024,20240921,2024,47.0,8.0,31.0,41.0,0.29,2.04,1.29,0.1,1.29,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L112,2024,20240921,2024,21.0,5.0,11.0,15.0,0.46,2.47,1.42,0.08,1.44,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L113,2024,20240921,2024,68.0,10.0,35.0,47.0,0.37,2.4,1.86,0.18,1.67,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L121,2024,20240921,2024,45.0,5.0,17.0,33.0,0.25,2.38,2.02,0.14,1.8,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,val
L122,2024,20240921,2024,63.0,8.0,34.0,45.0,0.39,1.95,1.36,0.1,1.1,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L123,2024,20240921,2024,36.0,8.0,24.0,37.0,0.29,1.62,2.01,0.06,0.77,0.06,"images/111,211/1725149753_1725149464_4.jpg;images/111,211/1725156956_1725156664_4.jpg;images/111,211/1725171361_1725171064_4.jpg;images/111,211/1725178552_1725178264_4.jpg;images/111,211/1725185750_1725185464_4.jpg",../data.csv,Healthy,Healthy,1,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L214,2024,20240921,2024,45.0,10.0,34.0,32.0,0.3,2.68,2.14,0.12,1.44,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L215,2024,20240921,2024,78.0,11.0,22.0,46.0,0.38,2.69,2.55,0.12,1.31,0.07,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L216,2024,20240921,2024,48.0,7.0,17.0,28.0,0.42,1.42,1.84,0.12,1.37,0.06,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
L224,2024,20240921,2024,54.0,9.0,27.0,41.0,0.32,2.49,2.34,0.1,1.78,0.07,"images/214,311/1725149855_1725149506_5.jpg;images/214,311/1725157062_1725156701_5.jpg;images/214,311/1725171456_1725171101_5.jpg;images/214,311/1725178670_1725178308_5.jpg;images/214,311/1725185860_1725185507_5.jpg",../data.csv,Healthy,Healthy,2,No,No,A,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702,train
