Date,Source,Air_Temperature,Relative_Humidity,Light_Intensity,CO2,Soil_Moisture,Soil_Temperature
20230501,2023,21.9859,57.6921,6.9748,431.7262,55.8417,19.9479
20230502,2023,24.9351,51.8993,7.1546,447.1101,57.6086,22.3339
20230503,2023,25.9682,50.3498,5.1612,456.9613,57.6348,23.7321
20230504,2023,20.9793,66.1874,3.4304,429.8125,56.9688,22.4702
20230505,2023,20.798,48.8748,9.4886,422.5179,56.7363,22.9473
20230506,2023,24.6938,45.0629,11.2725,456.5625,57.1515,25.011
20230507,2023,24.9966,40.29,12.8724,458.3512,57.3491,26.5798
20230508,2023,23.2787,36.1792,10.7838,439.4702,56.4946,26.3988
20230509,2023,20.1452,37.469,8.4948,420.9196,55.1652,24.3446
20230510,2023,22.353,41.4865,11.8303,436.3958,57.9768,23.872
20230511,2023,24.46,39.96,6.9303,441.3899,61.4747,23.9137
20230512,2023,22.8193,47.3527,6.0886,420.2738,62.0295,24.1182
20230513,2023,23.5661,56.6542,8.5611,424.7024,60.7467,24.2851
20230514,2023,25.7264,44.303,12.0668,438.369,59.7845,24.9815
20230515,2023,24.0414,45.2116,7.1203,428.6101,60.2345,24.8807
20230516,2023,15.623,66.8186,1.5169,413.0,61.161,21.3315
20230517,2023,24.7137,47.0435,11.6886,444.2202,60.4652,22.494
20230518,2023,24.2276,46.7526,6.8435,433.5685,59.5438,24.2119
20230519,2023,25.2876,44.1195,5.328,430.0833,58.281,24.1661
20230520,2023,21.8207,60.9586,3.4634,414.4554,57.0637,23.1289
20230521,2023,22.8267,60.8525,7.5015,425.0149,55.9101,22.7815
20230522,2023,24.2005,49.2886,6.9596,429.4702,56.2607,23.4872
20230523,2023,24.6542,40.3621,5.4594,427.7054,56.1354,23.8839
20230524,2023,26.2483,32.3122,10.6374,430.4196,54.2333,25.158
20230525,2023,22.968,40.0343,5.8203,414.7381,52.2789,24.6149
20230526,2023,24.2202,48.5697,11.429,424.1935,50.5295,25.0125
20230527,2023,24.2212,43.4505,10.8705,420.9226,48.7688,25.2557
20230528,2023,26.5484,36.813,12.2466,429.5,47.2452,25.4321
20230529,2023,24.9455,45.6754,11.8568,424.2381,49.9268,24.894
20230530,2023,24.9284,51.4717,13.0867,426.2113,54.8449,24.7104
20230601,2023,22.9962,65.4738,7.0057,414.4613,59.5393,23.0991
20230602,2023,24.1251,57.0267,9.7554,417.4375,57.608,23.1655
20230603,2023,22.6489,62.8052,7.811,414.3333,55.7363,22.9065
20230604,2023,23.1115,63.2994,13.4689,414.5565,53.9461,23.3878
20230605,2023,23.4017,66.0098,8.6613,417.7321,51.8315,23.6905
20230606,2023,22.3922,68.3501,8.8468,414.2768,50.1595,23.3622
20230607,2023,24.3007,58.5157,11.0702,416.8601,48.7265,24.1554
20230608,2023,24.2215,48.039,10.4932,414.3512,46.9107,24.1262
20230609,2023,22.1319,63.8476,6.7383,414.6786,45.3327,23.5542
20230610,2023,23.844,68.506,12.2773,414.3929,44.1696,23.4268
20230611,2023,22.8118,76.1222,3.9902,417.2321,43.3551,23.0932
20230612,2023,23.5079,73.293,7.9409,416.8512,42.6179,23.1634
20230613,2023,25.2542,74.4915,8.1929,425.3423,42.1116,23.8512
20230614,2023,26.2993,67.8656,9.4546,421.7113,41.4497,24.5107
20230615,2023,26.7539,65.5456,8.5333,417.8601,41.5488,25.2039
20230616,2023,26.8895,62.0626,8.6937,417.625,43.5765,25.6199
20230617,2023,24.0267,63.4471,7.6943,413.3036,50.667,23.5771
20230618,2023,25.1478,63.4179,8.8194,415.7411,54.3223,23.2854
20230619,2023,26.7638,67.9065,7.6313,415.494,53.256,24.642
20230620,2023,21.8577,84.398,2.3279,413.2351,51.8327,23.7402
20230621,2023,22.531,83.649,2.2232,416.4494,50.7152,22.6738
20230622,2023,24.4923,75.3827,5.131,423.3619,49.6695,23.4451
20230623,2023,25.0222,75.3555,7.1054,415.1815,48.2652,24.0988
20230624,2023,25.9231,78.2251,5.0108,413.7827,46.853,24.5012
20230625,2023,28.6587,62.707,5.3994,429.628,45.5101,25.5336
20230626,2023,28.1451,66.2762,5.1675,419.3006,43.9631,26.106
20230627,2023,24.4958,78.9885,2.1435,413.3601,42.9313,25.1506
20230628,2023,26.3645,80.2347,4.8519,421.7113,42.2354,25.0967
20230629,2023,24.5394,76.8847,2.3774,414.9048,40.7679,24.9092
20230630,2023,26.5694,68.0547,5.3776,419.2262,37.9735,24.981
20230701,2023,23.9881,73.2967,3.0584,413.6573,37.3118,24.6193
20230702,2023,23.8506,77.5653,2.1461,413.0,35.7458,22.8208
20230703,2023,23.9145,82.5246,1.6967,416.5208,35.1865,22.9031
20230704,2023,24.6841,85.0553,2.1718,420.5312,34.7635,23.1625
20230705,2023,22.4041,84.6542,0.8777,413.0,34.4604,22.8667
20230706,2023,23.0108,79.0267,1.9246,414.8542,33.6938,22.499
20230707,2023,22.5246,84.8467,1.6366,413.0,33.176,22.2177
20230708,2023,24.4297,82.6223,1.7038,414.5104,32.9948,22.826
20230709,2023,23.4976,85.4396,0.9874,413.9479,32.7385,22.8427
20230710,2023,23.401,89.9398,0.8828,413.2396,32.4969,22.726
20230711,2023,25.3877,83.4185,2.4793,418.8021,32.2688,22.9604
20230712,2023,25.3044,81.2634,1.8041,415.9062,32.0479,23.2
20230713,2023,26.465,73.4757,1.2298,415.3542,31.7438,23.3646
20230714,2023,21.8712,82.6205,0.6394,413.0,31.6333,22.9771
20230715,2023,21.6626,90.9609,1.202,413.0,31.0313,21.8729
20230716,2023,23.1074,88.2512,1.6467,413.0,30.8021,22.124
20230717,2023,21.8693,88.5785,1.0529,413.0,30.7418,21.998
20230718,2023,24.1357,80.7503,2.1717,413.625,30.349,22.0573
20230719,2023,26.2728,80.764,4.0315,417.2653,31.7286,22.7163
20230720,2023,26.5031,85.7257,2.5361,417.4796,34.751,23.3837
20230721,2023,27.2399,77.9095,3.1458,422.8229,35.475,23.6458
20230722,2023,23.6806,87.0044,0.3974,413.0,35.8606,23.8273
20230723,2023,23.5844,92.6863,1.6077,413.3776,35.5541,23.0602
20230724,2023,22.5855,83.8648,1.445,413.0,35.243,22.625
20230725,2023,25.3504,83.9993,2.9053,413.0833,35.0958,22.9625
20230726,2023,27.1686,84.2014,4.0273,425.3125,35.2438,23.751
20230727,2023,26.9308,86.3129,2.8679,421.5417,35.3896,24.5271
20230728,2023,24.5569,90.8215,1.1385,413.0,35.0875,24.2394
20230729,2023,27.0807,88.1554,3.1633,420.8542,34.7281,24.2135
20230730,2023,26.833,87.6627,2.6249,424.8542,34.7917,24.8844
20230731,2023,27.0803,86.492,1.5125,422.0521,34.1385,24.4646
20240901,2024,20.4371,69.1459,2.809,442.7366,53.9375,22.9272
20240902,2024,22.9068,61.1122,4.3658,510.125,55.3595,23.5923
20240903,2024,24.0702,58.9608,4.3895,513.4256,57.4208,24.5988
20240904,2024,21.4728,76.4072,1.2422,445.8592,57.2789,23.0839
20240905,2024,23.3819,56.3446,4.5764,484.5735,58.0597,24.2168
20240906,2024,21.816,53.8276,4.6596,460.5179,58.1723,24.092
20240907,2024,24.0399,56.8413,4.1643,500.691,57.2426,24.8303
20240908,2024,25.38,56.4534,4.2958,498.9762,56.8821,26.55
20240909,2024,23.3241,67.4486,3.857,459.1818,56.127,25.9047
20240910,2024,24.8133,51.4154,4.8885,478.5131,55.5504,26.1306
20240911,2024,23.2418,52.0405,3.9398,468.3994,54.7341,25.0222
20240912,2024,22.512,58.6935,3.2504,495.4487,57.5282,24.7463
20240913,2024,22.1414,47.194,4.2474,488.2679,59.2792,24.1199
20240914,2024,22.3384,50.7144,4.0934,483.3942,59.5429,23.7577
20240915,2024,21.8647,51.4093,4.3536,500.2262,61.5253,23.4637
20240916,2024,22.7505,58.2586,4.4055,488.9375,62.9744,23.6452
20240917,2024,24.7915,57.8159,4.0257,525.8839,62.4021,24.4685
20240918,2024,24.7921,55.2185,3.3214,511.4588,61.2903,24.6332
20240919,2024,21.7435,57.1962,3.1226,463.0089,59.9872,24.2696
20240920,2024,19.0771,63.3897,2.7509,467.7055,58.744,21.9058
20240921,2024,19.6158,54.8169,5.2011,490.4561,57.5067,21.5702
20240922,2024,20.8436,54.4233,4.4506,501.3088,55.7532,21.7894
20240923,2024,18.6326,58.6321,3.7534,490.9174,53.649,21.2416
20240924,2024,21.0196,58.463,4.3578,505.6786,51.9673,21.6443
20240925,2024,20.5239,71.1656,2.6548,476.9137,50.3878,21.569
20240926,2024,21.1347,61.3457,4.7709,500.9184,48.8,21.5519
20240927,2024,20.2037,58.2241,4.5956,459.6441,46.5206,21.8679
20240928,2024,21.4347,60.431,4.2584,475.5539,44.2828,21.9117
20240929,2024,23.9249,64.3573,4.1772,476.1965,42.9986,22.6888
20241001,2024,21.8569,54.7859,4.9959,502.0227,43.0333,21.1633
20241002,2024,18.5301,59.6297,4.7976,488.8036,42.5155,19.4753
20241003,2024,19.2924,59.4775,4.2929,511.4554,42.8554,19.4726
20241004,2024,19.731,62.0255,3.9283,521.128,43.4315,19.9265
20241005,2024,20.3057,66.35,3.5962,501.7589,41.7018,20.2086
20241006,2024,17.8268,68.8107,2.3804,455.7262,40.2173,19.4491
20241007,2024,16.4556,61.5134,3.2506,476.3703,38.9047,17.9924
20241008,2024,15.2971,71.025,2.0619,489.2703,37.9012,17.8826
20241009,2024,17.4957,60.8481,2.9731,489.8155,36.4351,18.0946
20241010,2024,15.5476,80.6404,1.1177,438.9155,35.4017,17.4889
20241011,2024,15.9416,65.2221,2.888,501.8076,34.5534,16.6507
20241012,2024,16.3642,62.4304,2.8717,515.4911,33.575,16.7024
20241013,2024,18.734,62.9721,2.3362,514.3965,32.7015,17.7673
20241014,2024,18.3524,72.8462,1.1168,447.5428,31.9643,18.4914
20241015,2024,15.7015,72.9096,1.8351,462.0833,31.2568,17.7574
20241016,2024,14.4113,72.9423,1.5771,475.9857,30.4814,16.1287
20241017,2024,17.6116,67.1857,1.7489,521.6862,29.9892,17.2897
20241018,2024,18.4637,67.1769,1.5626,494.8953,29.5672,18.2462
20241019,2024,16.4479,59.875,1.6524,449.9435,28.9714,17.5333
20241020,2024,17.3217,61.3786,1.5226,469.1613,28.5179,17.3742
20241021,2024,19.7158,71.6781,0.8903,476.7697,28.2825,18.6665
20241022,2024,18.835,71.1097,1.0721,462.994,28.0134,18.7744
20241023,2024,18.176,69.7944,1.1748,453.6443,27.7443,18.5854
20241024,2024,16.8337,66.0165,1.1344,462.2168,27.4405,17.6835
20241025,2024,19.4617,68.3821,1.266,486.5977,27.2399,18.6318
20241026,2024,17.2351,72.5846,0.7601,445.5306,28.905,17.898
20241027,2024,17.4168,72.8267,0.7734,460.1101,29.2378,17.9762
20241028,2024,17.6846,68.506,1.0911,451.7902,28.4845,18.052
20241029,2024,18.6342,68.8198,1.1358,481.3988,27.8625,18.2313
20241030,2024,17.8754,78.0156,0.5281,471.9653,27.487,18.3694
