Number,Year,Date,Source,Plant Height,Stem Diameter,Leaf Width,Leaf Length,NDVI,RVI,LNC,LNA,LAI,LDW,Photo Path,Sensor Path
111,2023,20230507,2023,20.8,nan,nan,nan,0.36,2.07,1.85,0.1,1.39,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
112,2023,20230507,2023,17.2,nan,nan,nan,0.39,2.03,1.8,0.12,1.43,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
113,2023,20230507,2023,17.8,nan,nan,nan,0.35,1.99,1.69,0.1,1.35,0.05,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
121,2023,20230507,2023,23.0,nan,nan,nan,0.42,2.23,2.0,0.13,1.47,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
122,2023,20230507,2023,26.0,nan,nan,nan,0.42,2.26,2.03,0.13,1.48,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
123,2023,20230507,2023,21.8,nan,nan,nan,0.37,2.27,2.07,0.13,1.51,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
211,2023,20230507,2023,18.4,nan,nan,nan,0.35,2.02,2.02,0.13,1.4,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
212,2023,20230507,2023,20.0,nan,nan,nan,0.37,2.26,2.0,0.14,1.45,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
213,2023,20230507,2023,18.7,nan,nan,nan,0.35,2.12,1.88,0.12,1.36,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
221,2023,20230507,2023,18.5,nan,nan,nan,0.36,2.2,1.95,0.12,1.42,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
222,2023,20230507,2023,19.7,nan,nan,nan,0.4,2.4,2.19,0.14,1.53,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
223,2023,20230507,2023,19.8,nan,nan,nan,0.37,2.13,2.09,0.14,1.42,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
214,2023,20230507,2023,23.0,nan,nan,nan,0.38,2.17,2.18,0.13,1.5,0.07,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
215,2023,20230507,2023,18.6,nan,nan,nan,0.39,1.06,2.69,0.17,1.61,0.08,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
216,2023,20230507,2023,21.0,nan,nan,nan,0.38,2.21,2.02,0.13,1.44,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
224,2023,20230507,2023,20.9,nan,nan,nan,0.39,2.29,2.01,0.13,1.47,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
225,2023,20230507,2023,19.0,nan,nan,nan,0.4,2.27,1.95,0.12,1.48,0.07,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
226,2023,20230507,2023,22.0,nan,nan,nan,0.38,2.24,2.01,0.13,1.41,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
311,2023,20230507,2023,14.6,nan,nan,nan,0.37,2.21,2.0,0.13,1.39,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
312,2023,20230507,2023,14.9,nan,nan,nan,0.36,2.16,1.95,0.11,1.32,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
313,2023,20230507,2023,17.4,nan,nan,nan,0.33,2.05,1.85,0.12,1.36,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
321,2023,20230507,2023,19.0,nan,nan,nan,0.35,2.13,1.93,0.13,1.37,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
322,2023,20230507,2023,23.0,nan,nan,nan,0.4,2.29,2.1,0.13,1.43,0.07,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
